NAME	CODE	POLYID	core	periphery	NATION	CNTRYNAME	GDP89	GDP90	GDP91	GROWTH	MANUF80	MANUF89	AGRI	XCOO	YCOO	INV
Brussels	BE1	1	1	0	32	Belgium	9.995199	10.086771	10.080428	0.047115	0.113443	0.091909	0.000451	4.355582	50.843820	0.176839
Antwerpen	BE21	2	1	0	32	Belgium	9.769253	9.854570	9.837415	0.044697	0.295777	0.260127	0.016533	4.699876	51.199318	0.210973
Limburg	BE22	3	1	0	32	Belgium	9.531250	9.613175	9.561756	0.048995	0.285166	0.266621	0.027320	5.464270	50.939119	0.238661
Oost-Vlaanderen	BE23	4	1	0	32	Belgium	9.525653	9.602105	9.584517	0.042767	0.301999	0.266758	0.034747	3.780478	50.982012	0.223177
Vlaams Brabant	BE24	5	1	0	32	Belgium	9.311676	9.420228	9.458704	0.061985	0.237187	0.179032	0.026843	4.531459	50.870485	0.201985
West-Vlaanderen	BE25	6	1	0	32	Belgium	9.586048	9.689892	9.686344	0.050167	0.292806	0.271176	0.050012	3.166297	51.028884	0.233763
Brabant Wallon	BE31	7	1	0	32	Belgium	9.267905	9.342841	9.398334	0.057313	0.219815	0.166699	0.030216	4.550729	50.669555	0.212844
Hainaut	BE32	8	1	0	32	Belgium	9.258702	9.333407	9.329922	0.041422	0.266204	0.196972	0.027833	3.897311	50.475157	0.171400
Liege	BE33	9	1	0	32	Belgium	9.470295	9.538103	9.560023	0.041136	0.253641	0.190602	0.024465	5.762656	50.478881	0.179233
Luxembourg	BE34	10	1	0	32	Belgium	9.383803	9.467244	9.487611	0.048110	0.094557	0.085514	0.088192	5.544649	50.003492	0.216635
Namur	BE35	11	1	0	32	Belgium	9.300167	9.356646	9.354354	0.045864	0.173101	0.129858	0.043943	4.868793	50.248031	0.162766
Stuttgart	DE11	12	1	0	49	Germany	9.980223	10.066550	10.056290	0.033935	0.374016	0.376045	0.032167	9.692026	49.061095	0.247805
Karlsruhe	DE12	13	1	0	49	Germany	9.850409	9.943492	9.942630	0.035349	0.386049	0.323689	0.016627	8.822670	49.078370	0.247805
Freiburg	DE13	14	1	0	49	Germany	9.733162	9.823984	9.813750	0.034725	0.369158	0.380907	0.037772	8.376027	47.936616	0.247805
Tubingen	DE14	15	1	0	49	Germany	9.770568	9.865905	9.863767	0.035824	0.409114	0.354246	0.060116	9.556131	48.221037	0.247805
Oberbayern	DE21	16	1	0	49	Germany	10.010873	10.105975	10.130179	0.047107	0.304065	0.267816	0.048808	11.559305	48.363182	0.300863
Niederbayern	DE22	17	1	0	49	Germany	9.537320	9.629656	9.647291	0.041575	0.338153	0.351343	0.118654	12.490162	48.750893	0.300863
Oberpfalz	DE23	18	1	0	49	Germany	9.544738	9.647311	9.671932	0.046951	0.305968	0.321409	0.084234	12.088467	49.371468	0.300863
Oberfranken	DE24	19	1	0	49	Germany	9.629662	9.726088	9.743489	0.043646	0.368640	0.388841	0.061189	11.319468	50.041905	0.300863
Mittelfranken	DE25	20	1	0	49	Germany	9.815158	9.906623	9.915653	0.040207	0.332631	0.358346	0.051645	10.887751	49.335431	0.300863
Unterfranken	DE26	21	1	0	49	Germany	9.619678	9.714057	9.723678	0.042779	0.395094	0.316455	0.061681	9.908902	49.962563	0.300863
Schwaben	DE27	22	1	0	49	Germany	9.691269	9.779425	9.790530	0.041597	0.312566	0.325076	0.078519	10.573693	48.285988	0.300863
Bremen	DE5	23	1	0	49	Germany	9.998832	10.106551	10.123737	0.041691	0.281186	0.260134	0.006214	8.713551	53.256173	0.186103
Hamburg	DE6	24	1	0	49	Germany	10.205263	10.317711	10.334360	0.045912	0.193305	0.167147	0.009112	10.025751	53.564419	0.199192
Darmstadt	DE71	25	1	0	49	Germany	10.086566	10.196221	10.215225	0.043446	0.299881	0.279285	0.015131	8.897072	50.035308	0.238376
Giessen	DE72	26	1	0	49	Germany	9.581012	9.679018	9.730059	0.046147	0.366897	0.292948	0.030245	8.834011	50.610042	0.238376
Kassel	DE73	27	1	0	49	Germany	9.661239	9.751635	9.816785	0.049765	0.267619	0.298451	0.037429	9.539319	51.008192	0.238376
Braunschweig	DE91	28	1	0	49	Germany	9.659238	9.729824	9.771453	0.044443	0.313403	0.330831	0.032922	10.296805	51.987750	0.274612
